№	Категория	Производитель	Наименование	Характеристика	Штрих код																																																																																																																					
185	Водка	"ООО ""Русский Север"""	"Водка ""Мороша"""		4 620 008 990 705																																																																																																																					
186	Кефир	"ЗАО ""Томмолоко"""	Томмолоко	Поли-пак 1 кг	4 605 955 000 301																																																																																																																					
187	Кефир	"ЗАО ""Томмолоко"""	Томмолоко	Поли-пак 0,5 кг	4 605 955 000 455																																																																																																																					
188	Кефир	"ЗАО ""Томмолоко"""	Томмолоко	бутылка пэт 930г	4 605 955 001 476																																																																																																																					
189	Кефир	"ООО ""Останкинйский молочный комбинат"""	36 копеек		4 600 657 412 117																																																																																																																					
190	Кефир	"ООО ""Останкинйский молочный комбинат"""	Останскинское 1955		4 600 657 002 035																																																																																																																					
191	Кефир	"АО ""Рузское молоко"""	Рузский		4 603 209 000 435																																																																																																																					
192	Кефир	ОАО «Белгородский молочный комбинат»	Parmalat		4 601 662 002 232																																																																																																																					
193	Творог 9%	"ЗАО ""Томмолоко"""	Томмолоко	фольга 200г	4 605 955 000 868																																																																																																																					
194	Творог 9%	"ЗАО ""Томмолоко"""	Томмолоко	200г полистироловый стакан	4 605 955 001 131																																																																																																																					
195	Творог 9%	АгриВолга	Углече поле		4 630 010 380 937																																																																																																																					
196	Творог 9%	Рязанский агромолкомбинат	Амка		4 602 048 002 006																																																																																																																					
197	Крабовые палочки	РОК №1	Премиум 		4 603 260 010 718																																																																																																																					
198	Крабовые палочки	Вичюняй-русь	VICI Приорити 		4 770 190 037 082																																																																																																																					
199	Сервелат	Ремит	Ремит		2 487 165 010 408																																																																																																																					
200	Сметана 20%	Рязанский агромолкомбинат	Амка		4 602 048 002 006																																																																																																																					
201	Сметана 20%	"АО ""Тульский молочный комбинат"""	Бежин луг		4 601 936 004 252																																																																																																																					
202	Сметана 20%	"АО ""Рузское молоко"""	Рузская сметана		4 603 209 001 647																																																																																																																					
203	Сметана 20%	"ООО ""Галактика"""	Большая Кружка		4 601 075 349 436																																																																																																																					
204	Сметана 20%	"ЗАО ""Томмолоко"""	Томмолоко	Поли-пак 0,5кг	4 605 955 000 868																																																																																																																					
205	Сметана 20%	"ЗАО ""Томмолоко"""	Томмолоко	200г полистироловый стакан	4 605 955 001 131																																																																																																																					
206	Сметана 20%	ООО «Галактика»	Большая кружка		4 601 075 349 436																																																																																																																					
207	Сметана 20%	АО «Белгородский молочный комбинат»	Parmalat		4 601 662 001 495																																																																																																																					
208	Сметана 20%	"ЗАО ""Кореновский молочно-консервный комбинат"""	Коровка из Кореновки		4 602 358 005 551																																																																																																																					
209	Сливочное масло 72,5 %	"ЗАО ""Томмолоко"""	Томмолоко		4 605 955 000 189																																																																																																																					
